loss,grad_norm,learning_rate,epoch,global_step,timestamp,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7487,0.767645001411438,2.0359090285078936e-05,2.1333333333333333,2400,2025-12-12 11:41:02,2400,,,,,,,,,
0.7395,0.8100646734237671,1.959206166691075e-05,2.151111111111111,2420,2025-12-12 11:42:13,2420,,,,,,,,,
0.7372,0.7817034125328064,1.8836225128149176e-05,2.168888888888889,2440,2025-12-12 11:43:25,2440,,,,,,,,,
0.731,0.8166946768760681,1.809185886531215e-05,2.1866666666666665,2460,2025-12-12 11:44:37,2460,,,,,,,,,
0.7592,0.7960209846496582,1.7359236853117344e-05,2.2044444444444444,2480,2025-12-12 11:45:48,2480,,,,,,,,,
0.7368,0.7738612294197083,1.6638628743642022e-05,2.2222222222222223,2500,2025-12-12 11:47:00,2500,,,,,,,,,
,,,2.2222222222222223,2500,2025-12-12 11:49:18,2500,1.0128382444381714,137.6713,7.264,0.908,,,,,
0.7364,0.8413555026054382,1.5930299767073548e-05,2.24,2520,2025-12-12 11:50:33,2520,,,,,,,,,
0.7432,0.7884343266487122,1.5234510634087713e-05,2.2577777777777777,2540,2025-12-12 11:51:45,2540,,,,,,,,,
0.7149,0.7970613241195679,1.4551517439890333e-05,2.2755555555555556,2560,2025-12-12 11:52:56,2560,,,,,,,,,
0.733,0.8078833222389221,1.388157156995783e-05,2.2933333333333334,2580,2025-12-12 11:54:08,2580,,,,,,,,,
0.7464,0.7825172543525696,1.3224919607511039e-05,2.311111111111111,2600,2025-12-12 11:55:20,2600,,,,,,,,,
0.7387,0.784022867679596,1.2581803242756873e-05,2.328888888888889,2620,2025-12-12 11:56:31,2620,,,,,,,,,
0.7306,0.8512791395187378,1.1952459183930598e-05,2.3466666666666667,2640,2025-12-12 11:57:43,2640,,,,,,,,,
0.691,0.8168303370475769,1.1337119070172108e-05,2.3644444444444446,2660,2025-12-12 11:58:54,2660,,,,,,,,,
0.7179,0.7854971289634705,1.0736009386267693e-05,2.3822222222222225,2680,2025-12-12 12:00:06,2680,,,,,,,,,
0.7456,0.7996933460235596,1.0149351379289106e-05,2.4,2700,2025-12-12 12:01:18,2700,,,,,,,,,
0.7451,0.797012448310852,9.577360977160383e-06,2.417777777777778,2720,2025-12-12 12:02:29,2720,,,,,,,,,
0.7306,0.779933750629425,9.020248709182482e-06,2.4355555555555557,2740,2025-12-12 12:03:41,2740,,,,,,,,,
0.7292,0.8268088698387146,8.478219628544903e-06,2.453333333333333,2760,2025-12-12 12:04:53,2760,,,,,,,,,
0.7214,0.7973441481590271,7.951473236852958e-06,2.471111111111111,2780,2025-12-12 12:06:04,2780,,,,,,,,,
0.7424,0.8021491765975952,7.440203410698282e-06,2.488888888888889,2800,2025-12-12 12:07:16,2800,,,,,,,,,
0.7283,0.810679018497467,6.9445983302997955e-06,2.506666666666667,2820,2025-12-12 12:08:27,2820,,,,,,,,,
0.7724,0.8183959126472473,6.464840410241257e-06,2.5244444444444447,2840,2025-12-12 12:09:39,2840,,,,,,,,,
0.7313,0.7737805247306824,6.001106232330972e-06,2.542222222222222,2860,2025-12-12 12:10:51,2860,,,,,,,,,
0.7227,0.8171932101249695,5.553566480608275e-06,2.56,2880,2025-12-12 12:12:02,2880,,,,,,,,,
0.7206,0.7701253890991211,5.1223858785208415e-06,2.5777777777777775,2900,2025-12-12 12:13:14,2900,,,,,,,,,
0.7405,0.8527120351791382,4.707723128295843e-06,2.5955555555555554,2920,2025-12-12 12:14:26,2920,,,,,,,,,
0.7191,0.8087649941444397,4.309730852527316e-06,2.6133333333333333,2940,2025-12-12 12:15:38,2940,,,,,,,,,
0.7418,0.8466413021087646,3.9285555380012e-06,2.631111111111111,2960,2025-12-12 12:16:49,2960,,,,,,,,,
0.7172,0.8027315735816956,3.5643374817787844e-06,2.648888888888889,2980,2025-12-12 12:18:01,2980,,,,,,,,,
0.7335,0.8408982157707214,3.217210739558341e-06,2.6666666666666665,3000,2025-12-12 12:19:13,3000,,,,,,,,,
,,,2.6666666666666665,3000,2025-12-12 12:21:31,3000,1.0112175941467285,137.7273,7.261,0.908,,,,,
0.7236,0.8087809681892395,2.887303076334036e-06,2.6844444444444444,3020,2025-12-12 12:22:46,3020,,,,,,,,,
0.7452,0.8288620710372925,2.574735919370119e-06,2.7022222222222223,3040,2025-12-12 12:23:58,3040,,,,,,,,,
0.7282,0.8005415201187134,2.279624313507922e-06,2.7199999999999998,3060,2025-12-12 12:25:09,3060,,,,,,,,,
0.718,0.7789156436920166,2.0020768788219346e-06,2.7377777777777776,3080,2025-12-12 12:26:21,3080,,,,,,,,,
0.7044,0.8048374652862549,1.7421957706406033e-06,2.7555555555555555,3100,2025-12-12 12:27:33,3100,,,,,,,,,
0.7212,0.8184546828269958,1.5000766419466183e-06,2.7733333333333334,3120,2025-12-12 12:28:44,3120,,,,,,,,,
0.738,0.788310170173645,1.275808608170459e-06,2.7911111111111113,3140,2025-12-12 12:29:56,3140,,,,,,,,,
0.704,0.8290513157844543,1.0694742143901427e-06,2.8088888888888888,3160,2025-12-12 12:31:07,3160,,,,,,,,,
0.7238,0.8562915921211243,8.811494049493663e-07,2.8266666666666667,3180,2025-12-12 12:32:19,3180,,,,,,,,,
0.7335,0.7888033390045166,7.109034955050498e-07,2.8444444444444446,3200,2025-12-12 12:33:30,3200,,,,,,,,,
0.7267,0.8213852643966675,5.587991475147547e-07,2.862222222222222,3220,2025-12-12 12:34:42,3220,,,,,,,,,
0.692,0.8385891318321228,4.248923451732001e-07,2.88,3240,2025-12-12 12:35:54,3240,,,,,,,,,
0.7562,0.8422585725784302,3.092323748065007e-07,2.897777777777778,3260,2025-12-12 12:37:05,3260,,,,,,,,,
0.7536,0.8044165968894958,2.1186180673158917e-07,2.9155555555555557,3280,2025-12-12 12:38:17,3280,,,,,,,,,
0.7628,0.7911716103553772,1.328164795876441e-07,2.9333333333333336,3300,2025-12-12 12:39:29,3300,,,,,,,,,
0.7049,0.8195493221282959,7.212548714511935e-08,2.951111111111111,3320,2025-12-12 12:40:40,3320,,,,,,,,,
0.7181,0.8102998733520508,2.9811167597404435e-08,2.968888888888889,3340,2025-12-12 12:41:52,3340,,,,,,,,,
0.7084,0.7809696793556213,5.889095338884598e-09,2.986666666666667,3360,2025-12-12 12:43:04,3360,,,,,,,,,
,,,3.0,3375,2025-12-12 12:44:08,3375,,,,,12943.2982,2.086,0.261,5.93162361372672e+17,0.9011768134081806
